,DistanceFromHome,Education,EducationField,Gender,MaritalStatus,Age,EmployeeId,DateEmployment,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,TotalWorkingYears,Over18,NumCompaniesWorked,Country,Sons,Attrition,BusinessTravel,DailyRate,Department,EmployeeCount,HourlyRate,JobLevel,JobRole,MonthlyIncome,MonthlyRate,OverTime,PercentSalaryHike,StandardHours,StockOptionLevel,TrainingTimesLastYear,EnvironmentSatisfaction,JobInvolvement,JobSatisfaction,PerformanceRating,RelationshipSatisfaction
327,20,Master,Medical,Male,Married,48,6596db64-d02a-4937-8e5f-2cc5ca92f078,2005-04-21 12:26:18,10,0,0,13,Y,4.0,Francia,1,No,Travel_Rarely,1469.0,Research & Development,1,51,1,Research Scientist,2259,5543,No,17,80.0,2,2,Very High,High,High,Excellent,Low
328,3,Bachelor,Medical,Male,Married,25,909d7ff7-2132-4d39-86ec-1a5ae6641dcd,2005-04-28 09:49:50,3,0,1,6,Y,5.0,Reino Unido,0,Yes,Travel_Rarely,688.0,Research & Development,1,91,1,Laboratory Technician,4031,9396,No,13,80.0,1,5,Low,High,Low,Excellent,High
329,2,Master,Marketing,Female,Married,38,09738ae5-4556-4f54-bf4a-3566db600580,2005-04-29 12:24:38,19,0,2,20,Y,2.0,Indiana,1,No,Travel_Rarely,723.0,Sales,1,77,2,Sales Representative,5405,4244,Yes,20,80.0,2,4,Medium,Low,,Outstanding,Low
330,2,Master,Life Sciences,Male,Single,52,59d45e15-ae33-4cb4-b2ee-a388985a566b,2005-05-01 20:42:42,6,11,7,33,Y,1.0,España,1,No,Non-Travel,771.0,Sales,1,79,5,Manager,19068,21030,Yes,18,80.0,0,2,Low,Medium,High,Excellent,Very High
331,9,College,Life Sciences,Female,Single,38,41f1a189-0606-454a-aeee-a18e1ae3b810,2005-05-02 14:21:40,2,0,0,2,Y,1.0,Indiana,1,No,Travel_Rarely,1380.0,Research & Development,1,75,1,Laboratory Technician,2288,6319,No,12,80.0,0,3,High,High,Very High,Excellent,High
332,6,Master,Life Sciences,Male,Single,35,a93c56ec-0ef8-4c4c-8c46-8814c04700b5,2005-05-04 13:13:20,0,8,2,17,Y,1.0,Nuevo México,0,No,Travel_Rarely,,Research & Development,1,82,2,Research Scientist,6646,19368,No,13,80.0,0,3,Medium,Low,Very High,Excellent,Medium
333,17,Bachelor,Technical Degree,Male,Divorced,28,9e00d308-c7a8-4b4b-9ef2-d3e0c56221af,2005-05-12 23:53:58,10,0,1,6,Y,5.0,Oklahoma,0,Yes,Travel_Rarely,1404.0,Research & Development,1,32,1,Laboratory Technician,2367,18779,No,12,,1,2,High,Medium,Very High,Excellent,Low
334,3,Bachelor,Life Sciences,Male,Single,20,3ab88663-a50d-42ce-82f8-d79087833ac9,2005-05-22 04:03:39,6,0,0,2,Y,1.0,Suecia,0,No,Travel_Rarely,805.0,Research & Development,1,87,1,Laboratory Technician,3033,12828,No,12,80.0,0,2,Low,Medium,High,Excellent,Low
335,1,Master,Other,Male,Single,33,49f558ff-4c8b-48b1-9808-8538d3e06f8f,2005-05-26 14:01:18,7,2,4,10,Y,1.0,Suecia,0,Yes,Travel_Rarely,527.0,Research & Development,1,63,1,Research Scientist,2686,5207,Yes,13,80.0,0,2,Very High,High,Very High,Excellent,High
336,7,Below College,Life Sciences,Female,Divorced,41,3402fbad-001f-4f57-b68d-633c09eed7f2,2005-06-06 16:33:34,10,2,7,21,Y,1.0,Maryland,0,No,Non-Travel,247.0,Research & Development,1,55,5,Research Director,19973,20284,No,22,,2,3,Medium,Low,High,Outstanding,Medium
337,23,Bachelor,Life Sciences,Male,Married,56,f668c7ca-3ba0-4511-8151-fead0019a353,2005-06-29 21:25:07,19,3,3,33,Y,4.0,Países Bajos,1,No,Travel_Rarely,1369.0,Research & Development,1,68,4,Manufacturing Director,13402,18235,Yes,12,80.0,1,0,Very High,High,Medium,Excellent,Low
338,2,Master,Medical,Male,Divorced,33,ef23a9c0-d95d-4707-a4a6-d251ac7c3e69,2005-07-03 15:58:27,5,0,4,6,Y,1.0,Hungría,0,No,Travel_Rarely,392.0,Sales,1,93,2,Sales Executive,5505,3921,No,14,80.0,2,5,Very High,High,Very High,Excellent,High
339,9,Below College,Life Sciences,Male,Single,20,4917b610-1972-497c-9239-61596e3ea61c,2005-07-15 00:40:06,10,0,2,2,Y,1.0,Nuevo México,0,No,Travel_Rarely,727.0,Sales,1,54,1,Sales Representative,2728,21082,No,11,80.0,0,3,Very High,High,Low,Excellent,Low
340,24,,Medical,Male,Single,24,3871aec2-e568-47ed-93bc-3c76caee5f17,2005-07-18 13:22:01,8,1,0,6,Y,8.0,Finlandia,1,No,Travel_Rarely,477.0,Research & Development,1,49,1,Laboratory Technician,3597,6409,No,22,80.0,0,2,Very High,High,Medium,Outstanding,Very High
341,9,,Life Sciences,Male,Divorced,34,d0ccb558-d2e5-484e-93a7-ed3c019a79c1,2005-07-20 05:02:17,19,1,4,10,Y,0.0,Noruega,1,No,Travel_Rarely,943.0,Research & Development,1,86,3,Healthcare Representative,8500,5494,No,11,80.0,1,0,Very High,High,Very High,Excellent,Very High
342,9,Bachelor,Life Sciences,Male,Married,50,72aedb14-49f3-4dab-8436-d5a563f6990a,2005-07-22 04:14:48,12,0,0,8,,4.0,Luisiana,1,No,Travel_Rarely,804.0,Research & Development,1,64,1,Laboratory Technician,2380,20165,No,18,80.0,0,5,Low,High,Very High,Excellent,Medium
343,7,Bachelor,Life Sciences,Male,Married,32,7cbb0bf2-7a8b-4a77-a58d-435939a5c1d5,2005-07-31 01:30:14,10,0,2,5,Y,1.0,Texas,0,No,Travel_Frequently,1311.0,Research & Development,1,100,1,Laboratory Technician,2794,26062,No,20,80.0,0,3,Medium,Very High,Medium,Outstanding,High
344,5,College,Life Sciences,Male,Divorced,32,e64bef51-0dfa-4cb1-be71-d5b63e0f98cc,2005-08-05 21:35:42,6,0,4,7,Y,0.0,Wyoming,1,No,Travel_Rarely,334.0,Research & Development,1,80,1,Research Scientist,3298,15053,Yes,12,80.0,2,5,Low,Very High,Medium,Excellent,
345,8,Below College,Medical,Female,Married,22,b0e00388-c9ac-467b-acd4-53035e9c0359,2005-08-09 04:00:43,2,0,0,1,Y,1.0,República Checa,0,Yes,Travel_Rarely,1294.0,Research & Development,1,79,1,Laboratory Technician,2398,15999,Yes,17,,0,6,High,High,Low,Excellent,High
346,7,Bachelor,Medical,Female,Married,45,9a581e15-8d69-4983-a7a2-ac3e2ed8bc98,2005-08-10 12:40:53,15,0,2,7,Y,4.0,Países Bajos,1,No,Travel_Rarely,1457.0,Research & Development,1,83,1,Research Scientist,4477,20100,Yes,19,80.0,1,2,Low,High,High,Excellent,High
347,7,College,Medical,Female,Married,48,3d47e2c9-914d-4591-bc82-93d395a72dbf,2005-09-03 06:05:15,12,0,0,19,Y,2.0,Finlandia,1,Yes,,708.0,Sales,1,95,1,Sales Representative,2655,11740,Yes,11,80.0,2,3,Very High,High,High,Excellent,High
348,1,Bachelor,Life Sciences,Male,Divorced,32,871698ae-c3ff-47a9-ac4f-474f04831655,2005-09-07 03:50:12,19,0,2,4,,0.0,Nebraska,0,No,Non-Travel,300.0,Research & Development,1,61,1,Laboratory Technician,2314,9148,No,12,80.0,1,2,Very High,High,Very High,Excellent,Medium
349,2,,Life Sciences,Female,Married,27,80a17377-4908-4898-bb6c-c3255ca48766,2005-09-14 22:30:04,0,1,2,4,Y,0.0,Hawaii,0,No,Travel_Rarely,1055.0,Research & Development,1,47,2,Manufacturing Director,4227,4658,No,18,80.0,1,2,Low,High,Very High,Excellent,Medium
350,7,Bachelor,Life Sciences,Male,Divorced,23,f8053ec0-f4ac-4c12-ba17-4e1668b6c673,2005-09-17 16:05:34,3,0,2,3,Y,1.0,Virginia Occidental,1,Yes,Travel_Rarely,427.0,Sales,1,99,1,Sales Representative,2275,25103,Yes,21,80.0,1,2,High,High,Very High,Outstanding,Medium
351,2,Bachelor,Life Sciences,Male,Married,42,91e10ab0-dc31-41a7-8b15-5418e44fba27,2005-10-01 01:45:22,1,3,9,24,,5.0,Francia,0,No,Travel_Rarely,300.0,Research & Development,1,56,5,Manager,18880,17312,No,11,80.0,0,2,Low,High,High,Excellent,Low
352,4,Master,Marketing,Male,Married,40,8202c8c6-d585-41db-ba75-1ae8a0fb1aea,2005-10-02 16:32:36,12,0,10,15,Y,7.0,Delaware,1,No,Travel_Rarely,630.0,Sales,1,67,3,Sales Executive,10855,8552,No,11,80.0,1,2,High,Medium,Very High,Excellent,Low
353,18,Below College,Other,Female,Single,21,ac0a7c6b-932b-4482-9fee-2fdb3a4656e2,2005-10-15 14:31:44,11,0,0,1,Y,1.0,Georgia,1,Yes,Travel_Rarely,1427.0,Research & Development,1,65,1,Research Scientist,2693,8870,No,19,80.0,0,3,Very High,High,Very High,Excellent,Low
354,7,Below College,Marketing,Male,Single,21,039dc055-4ff3-4a54-a89e-69ec08fb78dc,2005-11-03 09:40:36,15,0,0,1,Y,1.0,Hawaii,0,Yes,Travel_Rarely,337.0,Sales,1,31,1,Sales Representative,2679,4567,No,13,80.0,0,3,Medium,High,Medium,Excellent,Medium
355,12,Master,Life Sciences,Male,Married,41,764e4604-285d-4415-847d-db0e29416e1f,2005-11-04 22:55:52,19,0,0,6,Y,3.0,Ohio,1,No,Travel_Rarely,167.0,Research & Development,1,46,1,Laboratory Technician,4766,9051,Yes,11,80.0,1,4,Medium,High,Very High,Excellent,Low
356,1,Master,Medical,Male,Divorced,46,7bb09b12-a188-42f7-afcd-35a4936340b1,2005-11-09 14:12:58,5,1,0,23,Y,9.0,Misuri,0,No,Travel_Rarely,430.0,Research & Development,1,40,5,Research Director,19627,21445,No,17,80.0,2,0,Very High,High,Very High,Excellent,Very High
357,2,Master,Technical Degree,Male,Divorced,46,a780ae6e-187d-4f04-ae11-5d237db01248,2005-11-16 15:56:26,15,1,2,12,Y,2.0,Misuri,1,No,,150.0,Research & Development,1,60,2,Manufacturing Director,7379,17433,No,11,80.0,1,3,Very High,High,Very High,Excellent,High
358,1,Below College,Medical,Female,Married,47,335a5ace-96a0-482a-813a-e59c286ef26f,2005-11-17 07:58:26,9,5,1,14,Y,0.0,Países Bajos,0,No,Non-Travel,1162.0,Research & Development,1,98,3,Research Director,11957,17231,No,18,80.0,2,3,High,High,,Excellent,Low
359,17,College,Medical,Male,Divorced,28,f2e8418f-51b6-4bf4-9041-352c25cb481c,2005-11-22 11:48:57,1,0,2,10,Y,1.0,Colorado,0,No,Travel_Rarely,1300.0,Research & Development,1,79,2,Laboratory Technician,4558,13535,No,12,80.0,1,2,High,High,Low,Excellent,Very High
360,7,Bachelor,Life Sciences,Male,Single,34,ec5b22ad-cad7-4329-b84a-5de8a2257dc9,2005-11-23 10:00:08,7,0,1,9,,1.0,Dinamarca,0,Yes,,658.0,Research & Development,1,66,2,Laboratory Technician,6074,22887,Yes,24,80.0,0,3,Low,Low,High,Outstanding,Very High
361,3,Bachelor,Medical,Male,Married,50,46b67fe3-aeb7-45c6-afae-60b36082d841,2005-11-23 16:19:16,11,2,5,32,Y,1.0,Montana,0,No,Travel_Frequently,1246.0,Human Resources,1,99,5,Manager,18200,7999,No,11,80.0,1,2,Low,High,Medium,Excellent,High
362,24,Below College,Technical Degree,Female,Single,31,aa7e43c7-b194-4e9b-ac25-484462529574,2005-11-25 00:19:39,4,0,4,9,Y,2.0,Austria,1,No,Travel_Frequently,163.0,Research & Development,1,30,2,Manufacturing Director,5238,6670,No,20,80.0,0,3,Very High,High,Very High,Outstanding,Very High
363,1,Master,Life Sciences,Male,Married,44,79e50bd8-b762-4c3d-8641-41cd63fc22d3,2005-11-25 11:54:26,6,1,1,10,Y,2.0,Polonia,1,No,Travel_Rarely,170.0,Research & Development,1,78,2,Healthcare Representative,5033,9364,No,15,80.0,1,5,Medium,Very High,Low,Excellent,Very High
364,9,Master,Life Sciences,Male,Single,35,9a18db88-dbb2-4f42-a864-6f16a5567428,2005-11-29 20:49:54,18,0,0,10,Y,9.0,Misisipi,0,No,Travel_Rarely,755.0,Research & Development,1,97,2,Healthcare Representative,6540,19394,No,19,80.0,0,5,High,Medium,Medium,Excellent,High
365,19,Bachelor,Life Sciences,Female,Married,34,e4dbf94e-fa1a-435d-977a-53cf2e36def0,2005-12-06 06:16:32,3,3,5,10,,1.0,Oklahoma,1,No,Travel_Rarely,678.0,Research & Development,1,35,1,Research Scientist,2929,20338,No,12,,0,3,Medium,Medium,Very High,Excellent,Medium
366,10,Master,Life Sciences,Male,Single,25,df9a2431-7e6f-40a6-8ece-a9efa7821bf3,2005-12-15 12:51:19,3,1,1,5,Y,0.0,Austria,1,No,Travel_Rarely,1356.0,Sales,1,57,2,Sales Executive,4950,20623,No,14,80.0,0,4,High,High,Very High,Excellent,Medium
367,10,Master,Medical,Male,Divorced,34,46b26cf2-86a6-454e-b99a-4fb87d748cc2,2005-12-20 06:26:44,4,2,0,5,,1.0,Nevada,1,No,Travel_Frequently,878.0,Research & Development,1,43,1,Research Scientist,3815,5972,Yes,17,80.0,1,4,Very High,High,High,Excellent,Very High
368,15,Bachelor,Life Sciences,Female,Married,40,d0b67b8b-9e44-47f3-a31a-ed6d2d4fc2ea,2005-12-23 20:28:24,12,11,10,18,Y,1.0,Austria,1,No,,884.0,Research & Development,1,80,3,Manufacturing Director,10435,25800,No,13,80.0,2,2,Low,Medium,High,Excellent,Very High
369,4,College,Life Sciences,Male,Divorced,44,a1547909-8459-4942-b8e3-16ec846d829b,2005-12-24 21:44:19,18,10,8,26,Y,1.0,Croacia,1,No,Travel_Rarely,1199.0,Research & Development,1,92,5,Manager,19190,17477,No,14,80.0,2,4,High,Very High,Low,Excellent,Very High
370,18,Bachelor,Medical,Male,Married,38,500d94d1-b6f1-48cf-b6aa-f9c9577d54e6,2006-01-03 20:06:20,0,1,0,15,Y,3.0,Misuri,0,No,Travel_Rarely,833.0,Research & Development,1,60,2,Healthcare Representative,5811,24539,Yes,16,80.0,1,2,Medium,Low,Very High,Excellent,High
371,7,,Life Sciences,Female,Single,34,f71b6b6f-2858-4443-91da-cb449f605c11,2006-01-04 10:17:02,8,0,8,13,Y,0.0,Washington,0,No,Travel_Rarely,419.0,Research & Development,1,53,3,Research Director,11994,21293,No,11,,0,4,Low,High,Medium,Excellent,High
372,3,Master,Medical,Male,Married,29,1b45f03a-2df5-4109-8d65-b0a7974475f2,2006-01-07 04:59:54,14,0,1,10,,1.0,Finlandia,1,No,Travel_Rarely,986.0,Research & Development,1,93,3,Research Director,11935,21526,No,18,80.0,0,2,Medium,Medium,,Excellent,High
373,11,Bachelor,Life Sciences,Male,Married,34,b152ac67-a925-414d-a359-f5fd2b1118df,2006-01-19 01:38:19,4,1,0,14,,4.0,Vermont,0,No,Travel_Frequently,648.0,Human Resources,1,56,2,Human Resources,4490,21833,No,11,80.0,2,5,High,Medium,Medium,Excellent,Very High
374,2,College,Life Sciences,Male,Single,32,1bae8671-4a04-4b08-8ac4-cbadb72a6037,2006-01-19 12:47:58,4,3,2,8,Y,0.0,Wyoming,0,No,Travel_Frequently,1005.0,Research & Development,1,79,1,Laboratory Technician,3068,11864,No,13,80.0,0,2,Very High,High,Very High,Excellent,High
375,24,Master,Life Sciences,Female,Married,36,e17fc81d-55c4-4c2e-9f5b-e34675ba4725,2006-01-20 00:21:44,3,0,3,11,Y,7.0,Alabama,0,No,Non-Travel,1105.0,Research & Development,1,47,2,Laboratory Technician,5674,6927,No,15,80.0,1,3,Medium,High,,Excellent,High
376,10,,Life Sciences,Male,Married,32,2452d8f9-f9c1-40d9-a931-aff53b816542,2006-01-20 01:34:22,18,0,1,10,,6.0,Virginia Occidental,0,No,Travel_Frequently,585.0,Research & Development,1,56,1,Research Scientist,3433,17360,No,13,80.0,1,3,Low,High,,Excellent,Low
377,1,Master,Technical Degree,Male,Married,32,5a5589fb-2cbc-40b1-8a32-2afe1e9590a2,2006-01-20 23:23:03,10,1,2,9,Y,4.0,Arizona,0,No,Non-Travel,1200.0,Research & Development,1,62,2,Research Scientist,4087,25174,No,14,80.0,1,3,Very High,High,Low,Excellent,Medium
378,6,Bachelor,Life Sciences,Female,Single,20,cf635158-402e-41db-9453-b75a6dcfbb9f,2006-02-17 07:37:32,5,1,0,1,Y,1.0,Italia,1,Yes,Travel_Frequently,871.0,Research & Development,1,66,1,Laboratory Technician,2926,19783,Yes,18,80.0,0,5,Very High,Medium,Very High,Excellent,Medium
379,2,Bachelor,Medical,Male,Divorced,40,eff9c347-6026-444d-8073-846f4ed37881,2006-02-21 09:16:46,15,0,2,8,Y,2.0,Reino Unido,0,No,Travel_Rarely,896.0,Research & Development,1,68,1,Research Scientist,2345,8045,No,14,80.0,1,3,High,High,High,Excellent,High
380,4,College,Life Sciences,Male,Divorced,27,3f73e4a7-f7b1-43c7-a651-d3fe33ca219b,2006-02-24 03:02:36,7,0,2,5,Y,1.0,Grecia,0,No,Travel_Rarely,,Research & Development,1,76,1,Research Scientist,2517,3208,No,11,,3,2,Low,High,High,Excellent,Medium
381,2,Master,Life Sciences,Male,Married,38,24da5b48-fed4-4e91-9934-71261e192ab7,2006-02-26 10:08:08,0,0,0,14,,9.0,California,0,No,Travel_Rarely,1261.0,Research & Development,1,88,2,Manufacturing Director,6553,7259,No,14,80.0,0,3,Very High,High,High,Excellent,Medium
382,24,College,Life Sciences,Male,Divorced,57,ec50d9e3-f3cc-4483-bdc9-08d76c9db993,2006-03-03 04:50:07,16,0,0,12,Y,3.0,Alemania,1,No,Travel_Rarely,334.0,Research & Development,1,83,3,Healthcare Representative,9439,23402,Yes,16,80.0,1,2,High,Very High,Very High,Excellent,Medium
383,16,Master,Marketing,Male,Single,60,4b7010b9-606e-4248-be5a-14553a2e9996,2006-03-15 09:38:54,11,1,1,10,Y,8.0,Maryland,0,No,Travel_Rarely,1179.0,Sales,1,84,2,Sales Executive,5405,11924,No,14,80.0,0,1,Low,High,Low,Excellent,Very High
384,7,,Life Sciences,Male,Divorced,31,041c38e2-36b0-4967-b22f-4eb2ff1e8281,2006-04-09 13:47:54,9,1,5,10,Y,3.0,Hawaii,1,No,Travel_Rarely,655.0,Research & Development,1,48,2,Laboratory Technician,5915,9528,No,22,80.0,1,3,Very High,High,Very High,Outstanding,Very High
385,23,Bachelor,Medical,Male,Single,39,034840e5-9555-4ea1-aba1-69d1dda32307,2006-04-19 09:36:51,14,0,3,6,Y,0.0,Hungría,0,Yes,Travel_Rarely,360.0,Research & Development,1,93,1,Research Scientist,3904,22154,No,13,80.0,0,2,High,High,Low,Excellent,Low
386,3,Below College,Medical,Female,Divorced,27,e2aded7f-4c20-4db8-b698-d10f6750d972,2006-04-24 23:19:44,9,0,4,6,,1.0,Nueva Jersey,1,No,Travel_Frequently,1410.0,Sales,1,71,2,Sales Executive,4647,16673,Yes,20,80.0,2,3,Very High,Very High,Very High,Outstanding,Medium
387,7,Bachelor,Medical,Male,Married,33,af01e7f2-a914-4881-8be0-6dbcaff126ed,2006-04-29 05:23:13,1,2,6,14,Y,0.0,Oklahoma,1,No,Travel_Rarely,213.0,Research & Development,1,49,3,Research Director,11691,25995,No,11,80.0,0,3,High,High,High,Excellent,Very High
388,2,Doctor,Medical,Male,Married,38,7b385cb7-d1d5-473a-b846-947325a1858e,2006-05-01 05:30:06,12,0,0,6,Y,6.0,Grecia,1,No,Travel_Rarely,268.0,Research & Development,1,92,1,Research Scientist,3057,20471,Yes,13,,1,0,Very High,High,High,Excellent,Medium
389,1,Master,Medical,Male,Single,31,08c26c21-3d00-42b6-b2ad-b5d7ab9fa82e,2006-05-10 21:09:27,15,0,0,1,,1.0,Nuevo México,0,No,Travel_Rarely,1082.0,Research & Development,1,87,1,Research Scientist,2501,18775,No,17,80.0,0,4,High,High,Medium,Excellent,Medium
390,9,Master,Other,Male,Divorced,40,bbcf7d02-0e87-445a-afcc-f6896964efa8,2006-05-23 17:54:37,8,0,7,11,,3.0,Delaware,0,No,Non-Travel,663.0,Research & Development,1,81,2,Laboratory Technician,3975,23099,No,11,,2,2,High,High,High,Excellent,High
391,10,,Life Sciences,Female,Married,46,af689209-f4ce-4953-9bd9-8a56d71faef8,2006-06-13 03:58:48,5,0,1,14,Y,5.0,Wyoming,1,Yes,Travel_Rarely,1254.0,Sales,1,64,3,Sales Executive,7314,14011,No,21,80.0,3,2,High,High,Medium,Outstanding,High
392,3,,Medical,Female,Married,32,e1d1dfdd-84fa-4f5c-bc7d-fe67330dbc46,2006-06-13 22:37:25,17,3,2,8,Y,1.0,Alemania,1,No,Travel_Rarely,498.0,Research & Development,1,93,2,Manufacturing Director,6725,13554,No,12,,1,2,High,High,Low,Excellent,
393,3,,Life Sciences,Male,Divorced,38,cf9aaf59-965b-4096-a2be-5cb904328a77,2006-06-14 06:04:27,9,3,0,17,,0.0,Reino Unido,1,No,,119.0,Sales,1,76,3,Sales Executive,10609,9647,No,12,80.0,2,6,Low,High,High,Excellent,High
394,16,Master,Life Sciences,Female,Divorced,48,c7edd35b-47ba-4fe7-ba48-8e33f72d69c2,2006-06-15 14:20:48,1,3,5,18,Y,8.0,Utah,0,No,Travel_Rarely,492.0,Sales,1,96,2,Sales Executive,6439,13693,No,14,80.0,1,2,High,High,High,Excellent,High
395,1,,Life Sciences,Male,Married,30,e69a196c-28e3-475b-b17a-cb592a0dc755,2006-06-22 05:29:09,10,0,1,7,,3.0,Nueva Jersey,0,No,Travel_Rarely,921.0,Research & Development,1,38,1,Laboratory Technician,3833,24375,No,21,80.0,2,2,Very High,Low,High,Outstanding,High
396,8,Below College,Medical,Male,Single,18,919f249a-f4dc-4d54-8b60-296eb18b2117,2006-06-30 22:47:13,8,0,0,0,Y,1.0,Dinamarca,0,Yes,,247.0,Research & Development,1,80,1,Laboratory Technician,1904,13556,No,12,80.0,0,0,High,High,High,Excellent,Very High
397,4,Bachelor,Life Sciences,Female,Divorced,47,1eedac53-3356-40db-ad26-6fc57e7cc040,2006-07-02 19:13:18,2,7,2,28,,8.0,Iowa,1,No,Travel_Rarely,1001.0,Research & Development,1,92,3,Manufacturing Director,10333,19271,Yes,12,80.0,1,4,High,Medium,Medium,Excellent,High
398,9,Master,Life Sciences,Male,Married,51,10e8d321-ed16-46f5-8237-faced452ae1c,2006-07-03 20:27:08,4,0,1,10,Y,3.0,Alabama,1,No,Travel_Rarely,432.0,Research & Development,1,96,1,Laboratory Technician,2075,18725,No,23,,2,4,Very High,High,Very High,Outstanding,Medium
399,18,,Life Sciences,Male,Married,36,d871aec5-159f-43a9-8842-eaae079238d4,2006-07-04 14:29:29,17,0,0,4,Y,4.0,Suecia,0,No,Travel_Frequently,566.0,Research & Development,1,81,1,Laboratory Technician,3688,7122,No,18,80.0,2,2,High,Very High,Very High,Excellent,Very High
400,26,Bachelor,Medical,Female,Divorced,40,110751c2-99b7-4259-a43c-87527e7ebe8e,2006-07-08 01:20:43,2,1,5,20,Y,1.0,Indiana,1,No,Travel_Frequently,1395.0,Research & Development,1,54,2,Research Scientist,5605,8504,No,11,,1,2,Medium,High,Medium,Excellent,Low
401,20,College,Medical,Male,Married,45,54ebe5f8-55cc-43c1-9078-fb3fe52b8361,2006-07-22 16:14:52,14,3,8,21,Y,0.0,Washington,1,No,Travel_Rarely,,Research & Development,1,79,4,Healthcare Representative,13496,7501,Yes,14,80.0,0,2,High,High,Very High,Excellent,Medium
402,2,Master,Technical Degree,Male,Married,55,9cf9df57-22bd-4111-b48f-f5ea2a3aeac9,2006-07-25 15:22:14,16,0,1,19,,8.0,Utah,0,No,,,Research & Development,1,98,1,Research Scientist,2662,7975,No,20,80.0,1,2,Medium,Medium,,Outstanding,Medium
403,1,Bachelor,Life Sciences,Female,Married,50,541aa96b-fbd3-482a-bb3b-a9e2c2ec14f7,2006-07-31 18:52:05,0,0,6,19,Y,0.0,Alemania,1,No,Non-Travel,145.0,Sales,1,95,2,Sales Executive,6347,24920,No,12,80.0,1,3,Very High,High,High,Excellent,Low
404,2,Below College,Marketing,Male,Divorced,27,7a814f96-dec3-4de7-ba22-2239ba26c269,2006-08-04 18:13:44,11,0,1,5,Y,0.0,Países Bajos,0,Yes,Travel_Rarely,1420.0,Sales,1,85,1,Sales Representative,3041,16346,No,11,80.0,1,3,High,High,Low,Excellent,Medium
405,9,Bachelor,Life Sciences,Male,Single,43,44c1c510-833b-404a-9412-9085d2e5a00c,2006-08-07 21:38:59,9,0,1,7,Y,4.0,Arkansas,1,No,Non-Travel,343.0,Research & Development,1,52,1,Research Scientist,2438,24978,No,13,80.0,0,2,Low,High,High,Excellent,High
406,1,Bachelor,Medical,Female,Single,54,54719e4e-31b9-4d67-bc8f-b2c6780eee11,2006-08-21 14:05:54,4,7,3,29,,6.0,Países Bajos,1,No,Travel_Rarely,971.0,Research & Development,1,54,4,Research Director,17328,5652,No,19,80.0,0,3,Very High,High,Very High,Excellent,Very High
407,2,College,Marketing,Female,Married,40,0a990c70-3ea9-4b59-9713-f1e9db82c4a4,2006-08-27 21:19:10,1,0,7,15,Y,3.0,Maine,1,No,Travel_Rarely,444.0,Sales,1,92,2,Sales Executive,5677,4258,No,14,80.0,1,4,Medium,High,Medium,Excellent,High
408,8,Master,Marketing,Male,Married,50,498006f9-72cf-41d4-add1-70bd62624fcd,2006-08-29 19:48:13,5,2,0,4,,7.0,Austria,1,No,Travel_Rarely,316.0,Sales,1,54,1,Sales Representative,3875,9983,No,15,80.0,1,2,Very High,High,Medium,Excellent,Very High
409,3,Master,Marketing,Female,Single,36,f13a6b98-5e68-4cca-936b-b89c7a831d80,2006-09-03 15:53:16,3,0,0,15,Y,3.0,Países Bajos,1,No,Travel_Rarely,1174.0,Sales,1,99,2,Sales Executive,9278,20763,Yes,16,80.0,0,3,Low,High,Medium,Excellent,Very High
410,22,Bachelor,Medical,Female,Single,39,a863c292-1126-4004-bf7b-6587ef50a642,2006-09-06 00:34:40,13,2,7,21,Y,1.0,Nebraska,1,No,Travel_Frequently,,Research & Development,1,82,3,Manufacturing Director,10880,5083,Yes,13,80.0,0,2,Very High,High,Low,Excellent,High
411,2,Bachelor,Life Sciences,Male,Married,46,c400935a-f457-4ead-a3c9-ef307d86a9da,2006-09-07 12:11:06,13,0,0,26,Y,6.0,Suiza,0,No,Travel_Rarely,1009.0,Research & Development,1,51,4,Research Director,17861,2288,No,13,,0,2,Low,High,,Excellent,High
412,26,,Life Sciences,Female,Married,45,d7e09583-0c84-48f9-8d9f-48517d06cc49,2006-09-08 07:29:01,12,0,0,5,Y,2.0,Portugal,0,Yes,Travel_Frequently,306.0,Sales,1,100,2,Sales Executive,4286,5630,No,14,80.0,2,4,Low,High,Low,Excellent,Very High
413,2,Bachelor,Medical,Male,Married,38,91cd21d6-b12e-4d0d-b377-755a46ec2ff3,2006-09-09 15:13:36,18,1,0,7,Y,4.0,Alemania,0,Yes,Travel_Rarely,903.0,Research & Development,1,81,2,Manufacturing Director,4855,7653,No,11,80.0,2,2,High,High,Medium,Excellent,Low
414,4,College,Other,Male,Divorced,35,3d1a499d-2d96-44ed-9cd2-109123ce95be,2006-10-01 12:06:57,10,0,0,1,Y,1.0,Carolina del Sur,0,No,Travel_Rarely,464.0,Research & Development,1,75,1,Laboratory Technician,1951,10910,No,12,80.0,1,3,High,High,Very High,Excellent,High
415,2,College,Life Sciences,Male,Divorced,46,e4b9cdff-725d-4367-be10-1a125f6772ca,2006-10-07 23:53:26,15,4,7,12,,3.0,Bélgica,0,No,Travel_Rarely,706.0,Research & Development,1,82,3,Manufacturing Director,8578,19989,No,14,80.0,1,4,Very High,High,Very High,Excellent,High
